animal,n,slope,intercept,r,R2,se_slope,t_slope,p_slope,se_intercept,t_intercept,p_intercept
PV_106,3550,0.024261377537687374,0.06883683983285677,0.7096352380761632,0.5035821711194128,0.0004044009460820305,59.993374824514106,0.0,,,
PV_126,5320,0.024047246659568904,0.06684969047569192,0.7478986109510006,0.5593523322624362,0.00029268077940526886,82.16202891229558,0.0,,,
PV_143,1783,0.021769088318207806,0.08570897437775446,0.6855463494914517,0.4699737973010556,0.000547797604918488,39.73929079417395,8.45312867279269e-248,,,
PV_57,5488,0.020639309136973153,0.0655264479809559,0.7026296327059862,0.4936884007565491,0.0002821952706088335,73.13839488678902,0.0,,,
PV_62,2819,0.022770714874004196,0.07162968053874999,0.6414185037633159,0.4114176969699709,0.0005131512100926434,44.374278821038374,0.0,,,
