animal,n,slope,intercept,r,R2,se_slope,t_slope,p_slope,se_intercept,t_intercept,p_intercept
PV_106,2706,0.024090336774625833,0.050211166729433765,0.7067671198022589,0.49951976163358064,0.0004637208866369168,51.950079172275956,0.0,,,
PV_126,3279,0.02627065247800738,0.05867111793237233,0.6913997688453702,0.4780336403594314,0.0004795398086625584,54.783048254693405,0.0,,,
PV_143,1197,0.025100577375275004,0.07204162544894767,0.6945613000860581,0.4824153995772352,0.0007521073806915536,33.3736618196664,4.216195444944264e-173,,,
PV_57,4679,0.02450483158658781,0.07099490196351552,0.6791110285726059,0.4611917891289427,0.00038729719930554385,63.27138856290987,0.0,,,
PV_62,2473,0.025040230036161144,0.0500887964516126,0.6492519844174247,0.4215281392699639,0.0005901056526973509,42.433469196072245,4.926185304629547e-296,,,
