animal,block,block_key,event_id,saccade_on_ms,saccade_off_ms,amp_deg,overall_angle_deg,primary_eye,concurrency,eyes,lizmov_path,head_movement,has_back_and_forth,n_small_followups,n_consecutive_reversals,first_followup_latency_ms,n_constituents
PV_106,008,PV_106_block_008,PV_106_008_50973_L,50972.8,51056.05,21.326766303365595,68.89404420320845,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,1,0,49.94999999999709,2
PV_106,008,PV_106_block_008,PV_106_008_51339_R,51339.1,51389.05,9.649541246766045,25.52269630528519,R,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,1,0,33.30000000000291,2
PV_106,008,PV_106_block_008,PV_106_008_51372_L,51372.4,51488.95,22.492429315836482,167.77574546495828,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,0,0,,2
PV_106,008,PV_106_block_008,PV_106_008_51938_R,51938.5,51988.45,7.551576101011478,343.21700408747597,R,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,1,0,33.30000000000291,2
PV_106,008,PV_106_block_008,PV_106_008_51972_L,51971.8,52088.35,11.408968336579784,180.423880272952,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,0,0,,2
PV_106,008,PV_106_block_008,PV_106_008_53137_L,53137.3,53153.95,7.743672752333365,45.92017107450879,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,2,0,16.64999999999418,2
PV_106,008,PV_106_block_008,PV_106_008_54503_L,54502.6,54602.5,17.037301380250014,33.84358269219784,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,True,2,1,99.90000000000146,2
PV_106,008,PV_106_block_008,PV_106_008_54602_L,54602.5,54685.75,8.56343819416816,190.80397073980794,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,0,0,,2
PV_106,008,PV_106_block_008,PV_106_008_58032_L,58032.4,58132.3,10.452359458469148,356.5555450292985,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,2,0,99.90000000000146,2
PV_106,008,PV_106_block_008,PV_106_008_58482_L,58481.95,58531.9,7.160802103597095,30.455132192100574,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,4,0,16.650000000001455,2
PV_106,008,PV_106_block_008,PV_106_008_61579_L,61578.85,61662.1,9.794978693464293,359.8853054917074,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,0,0,16.650000000001455,2
PV_106,008,PV_106_block_008,PV_106_008_64176_L,64176.25,64276.15,7.47264955802538,323.94812263806233,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,1,0,116.55000000000291,2
PV_106,008,PV_106_block_008,PV_106_008_64676_L,64675.75,64742.35,13.492932072004946,5.757614272571355,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,True,4,2,83.25,2
PV_106,008,PV_106_block_008,PV_106_008_66158_L,66157.6,66190.9,7.8379868947347955,153.03147251859554,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,2,0,33.29999999998836,2
PV_106,008,PV_106_block_008,PV_106_008_68072_L,68072.35,68138.95,11.828380760400828,359.2800371535425,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,3,0,66.59999999999127,2
PV_106,008,PV_106_block_008,PV_106_008_68139_L,68138.95,68255.5,10.930206411235762,173.8063713464614,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,1,0,49.94999999999709,2
PV_106,008,PV_106_block_008,PV_106_008_68305_L,68305.45,68338.75,7.854600993963407,351.41960761735476,L,binocular,2,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",True,False,2,0,33.30000000000291,2
