eye,n_window,n_finite_residual,mean_position_offset_deg,median_position_offset_deg,p95_position_offset_deg,max_position_offset_deg,mean_position_offset_inside_35deg,mean_position_offset_outside_35deg,n_inside_cut,n_outside_cut,path_original_deg,path_corrected_deg,path_change_pct,n_steps,mean_abs_step_delta_deg,median_abs_step_delta_deg,mean_step_delta_deg,n_steps_gt_min,median_step_change_pct,rest_phi_raw_deg,rest_theta_raw_deg,rest_phi_corr_deg,rest_theta_corr_deg,n_lookup_nan_window,window_start_s,window_end_s
L,4805,4800,1.484493490920633,1.42076056108726,2.300198516715512,3.4185610315365804,1.7620060360876977,1.1228216710196026,2716,2084,567.1533825411847,516.685428228539,-8.898466599373744,4798,0.010532218514931694,0.006313504442511794,-0.010518539873415104,269,-7.330256991477799,-19.152176853847735,-32.521685925800064,-18.56395134115148,-25.670302020626252,0,47.0154,127.0154
R,4805,4799,1.9366697019440753,1.2010082269775182,4.212527927985396,6.793792173702899,1.171149669784943,3.562901384844627,3263,1536,546.8463632213914,497.14463820408366,-9.088791360798698,4796,0.010393338978633463,0.0049022992805208,-0.01036316201361712,238,-6.566274378210775,9.094667247469928,-25.959073908185196,9.719428639548212,-21.176503793093126,0,47.0154,127.0154
