eye,axis,n,mean_deg,std_deg,sem_deg,mean_minus_sem_deg,mean_plus_sem_deg
L,phi,120385,-0.6116264107644662,1.9573778601949223,0.005641420640558561,-0.6172678314050248,-0.6059849901239076
L,theta,120385,0.4081213666985067,4.005354246544148,0.01154395815887734,0.39657740853962936,0.419665324857384
R,phi,114688,-0.0062843989215869015,1.5759397391990329,0.004653509632973917,-0.010937908554560819,-0.0016308892886129842
R,theta,114688,0.15212328069285133,2.1992339460578094,0.0064940023394198685,0.14562927835343145,0.1586172830322712
