,frame,center_x,center_y,axs_1,axs_2,ellipse_phi,y_angle,x_angle
0,0,294.3088073730469,188.02798461914062,6.463149547576904,76.7605972290039,63.528106689453125,-60.000001669652114,-60.000001669652114
1,1,294.4840393066406,187.99952697753906,7.2124128341674805,78.0594711303711,63.78940963745117,-60.000001669652114,-59.00000050345972
2,2,294.8397521972656,187.95237731933594,7.810102462768555,79.37715911865234,63.99638748168945,-60.000001669652114,-57.99999933726732
3,3,294.9898376464844,187.94764709472656,8.54628849029541,79.06226348876953,64.26298522949219,-60.000001669652114,-57.0000015861695
4,4,295.16033935546875,187.9674530029297,9.264304161071777,79.9625015258789,64.52951049804688,-60.000001669652114,-56.00000041997711
5,5,295.6168518066406,187.89454650878906,9.864595413208008,80.58502960205078,64.72384643554688,-60.000001669652114,-55.0000026688793
6,6,295.7590026855469,187.893310546875,10.538152694702148,81.15711975097656,65.13540649414062,-60.000001669652114,-54.0000015026869
7,7,296.0314025878906,187.9291229248047,11.094855308532715,82.00137329101562,65.32598114013672,-60.000001669652114,-53.0000003364945
8,8,296.3057556152344,187.86619567871094,11.843684196472168,82.37157440185547,65.55490112304688,-60.000001669652114,-52.00000258539669
9,9,296.6349792480469,187.82044982910156,12.461846351623535,82.57662200927734,65.93746185302734,-60.000001669652114,-51.000001419204295
10,10,296.88568115234375,187.83883666992188,13.045280456542969,83.18263244628906,66.22320556640625,-60.000001669652114,-50.00000366810648
11,11,297.0892333984375,187.84716796875,13.75218391418457,83.23918914794922,66.5335922241211,-60.000001669652114,-49.00000250191409
12,12,297.6188049316406,187.7838592529297,14.378218650817871,83.72726440429688,66.79407501220703,-60.000001669652114,-48.00000133572169
13,13,297.8150634765625,187.80503845214844,15.062973976135254,83.31832122802734,67.24564361572266,-60.000001669652114,-47.000000169529294
14,14,298.422607421875,187.68605041503906,15.625473022460938,84.03862762451172,67.48438262939453,-60.000001669652114,-45.999999003336896
15,15,298.5377502441406,187.7617950439453,16.30938720703125,83.9986801147461,67.91204833984375,-60.000001669652114,-45.00000125223908
16,16,299.08648681640625,187.66879272460938,16.804819107055664,84.52498626708984,68.23091125488281,-60.000001669652114,-44.00000350114127
17,17,299.3022766113281,187.66180419921875,17.449607849121094,84.55184173583984,68.6258316040039,-60.000001669652114,-43.00000233494888
18,18,299.7708435058594,187.6504364013672,17.954673767089844,84.5598373413086,68.87861633300781,-60.000001669652114,-42.00000116875648
19,19,300.11859130859375,187.61656188964844,18.63302230834961,84.67010498046875,69.26398468017578,-60.000001669652114,-41.00000000256408
20,20,300.6032409667969,187.59605407714844,19.213205337524414,84.77021789550781,69.65071105957031,-60.000001669652114,-40.00000225146627
21,21,300.8714294433594,187.59945678710938,19.757038116455078,85.04564666748047,70.11768341064453,-60.000001669652114,-39.00000108527387
22,22,301.3619384765625,187.55709838867188,20.262977600097656,85.17343139648438,70.449951171875,-60.000001669652114,-37.99999991908148
23,23,301.666259765625,187.5340576171875,20.76634407043457,85.43992614746094,70.90093231201172,-60.000001669652114,-37.00000216798367
24,24,302.2986145019531,187.4376220703125,21.3121395111084,85.7136001586914,71.2348403930664,-60.000001669652114,-36.00000100179127
25,25,302.4601135253906,187.57626342773438,21.884916305541992,85.62979888916016,71.77452850341797,-60.000001669652114,-34.99999983559887
26,26,302.89739990234375,187.522705078125,22.390087127685547,85.58849334716797,72.08445739746094,-60.000001669652114,-34.000002084501055
27,27,303.3829040527344,187.5148162841797,22.853092193603516,85.88746643066406,72.45401763916016,-60.000001669652114,-33.000000918308665
28,28,303.7098693847656,187.4738006591797,23.33218765258789,85.89134216308594,72.93672180175781,-60.000001669652114,-31.999999752116263
29,29,304.38470458984375,187.42633056640625,23.7889347076416,85.94570922851562,73.4343490600586,-60.000001669652114,-30.99999858592387
30,30,304.6553039550781,187.46168518066406,24.288375854492188,85.96336364746094,73.94463348388672,-60.000001669652114,-30.000000834826057
31,31,305.1839599609375,187.41815185546875,24.71524429321289,86.06420135498047,74.37867736816406,-60.000001669652114,-29.000003083728245
32,32,305.5143127441406,187.4126739501953,25.09544563293457,86.0805892944336,74.77961730957031,-60.000001669652114,-28.000001917535847
33,33,305.9636535644531,187.3972625732422,25.556350708007812,86.19373321533203,75.2835464477539,-60.000001669652114,-27.00000075134345
34,34,306.5423583984375,187.41091918945312,25.994441986083984,86.31877899169922,75.79332733154297,-60.000001669652114,-25.99999958515105
35,35,307.0093078613281,187.37258911132812,26.3773250579834,86.30391693115234,76.2702865600586,-60.000001669652114,-24.999998418958658
36,36,307.3417053222656,187.36622619628906,26.72968101501465,86.60923767089844,76.80453491210938,-60.000001669652114,-24.00000066786085
37,37,307.87371826171875,187.37278747558594,27.125486373901367,86.38530731201172,77.16976928710938,-60.000001669652114,-22.999999501668448
38,38,308.3951416015625,187.3495330810547,27.51152992248535,86.47032165527344,77.80926513671875,-60.000001669652114,-22.00000175057064
