eye,axis,n_animals,mean_of_mean_abs_deg,std_of_mean_abs_deg,min_mean_abs_deg,max_mean_abs_deg,mean_of_std_abs_deg,std_of_std_abs_deg,min_std_abs_deg,max_std_abs_deg
L,phi,5,0.6883075156090689,0.4419746197297889,0.2099669293451906,1.3594029423535925,0.7268594548822378,0.4544943910641749,0.2994672337233541,1.3901628362263985
L,theta,5,1.1317861058231895,0.5810590246567472,0.602498588050296,1.9722955774183653,1.0211919361487514,0.5662709003609459,0.5077785603177399,1.8904452626066717
L,hypot,5,1.4101978981657044,0.7463584792578547,0.6553399679732168,2.515593075856456,1.1806683910475713,0.6803875999730047,0.5176542631452292,2.2255864115027815
R,phi,5,0.9974104267546684,0.660893080029583,0.4415229740399601,1.981217194521071,0.9554511384673884,0.531083892190446,0.3849182059187093,1.4904456038045837
R,theta,5,1.2468042978286926,0.4622273043543868,0.6882092015016061,1.877864997572874,1.2014140585365205,0.5159651638938477,0.6124196437187106,1.8348722839155072
R,hypot,5,1.704652583233731,0.8340404436736437,0.8686216134748675,2.9637262099857593,1.4488835421795336,0.6768619255848836,0.7003735265126944,2.0881040033373974
both,phi,5,0.8396325741702446,0.4834033006130014,0.4182782948292218,1.6705704601969729,0.9514778318756671,0.4215298851352652,0.406823250937964,1.494520015477893
both,theta,5,1.186623063511686,0.483000702682785,0.6543956563122435,1.9267933165987028,1.1780231662932104,0.5104138359130928,0.5644973042004242,1.9070126022511744
both,hypot,5,1.5536621828117911,0.718410946834613,0.8430447572830101,2.7406416887981795,1.426554126843841,0.6059871341764778,0.6218879425282703,2.211425387859073
